"Term ID","Term Name","Term Slug",Description,bw_term_bh_id
1526,"Corporate Services",corporate-services,,2000057
1527,Administrative,administrative,,2000016
1541,Compliance,compliance,,2000087
1542,Legal,legal,,2000064
1543,"Financial Services",financial-services,,2000041
1551,Accounting,accounting,,2000001
1567,Hospitality,hospitality,,2000059
1572,Managerial,managerial,,2000050
1574,"Online Gaming (iGaming)",online-gaming-igaming,,2000038
1575,"IT Software",it-software,,2000006
1580,"Customer Care",customer-care,,2000062
1584,Content,content,,2000113
1585,"IT Technical",it-technical,,2000047
1593,Sales,sales,,2000048
1595,Logistics,logistics,,2000054
1605,Clerical,clerical,,2000045
1606,Retail,retail,,2000040
1611,"Content Management",content-management,,2000088
1612,Marketing,marketing,,2000086
1614,"Content and Languages",content-and-languages,,2000093
1619,Warehousing,warehousing,,2000077
1620,Manufacturing,manufacturing,,2000076
1622,Auditing,auditing,,2000043
1624,"Risk Management",risk-management,,2000117
1625,Advisory,advisory,,2000097
1643,Insurance,insurance,,2000063
1649,Languages,languages,,2000114
1653,"Business Administration",business-administration,,2000091
1654,Yachting,yachting,,2000083
1655,Technical,technical,,2000042
1656,Engineering,engineering,,2000036
1666,"Health and Safety",health-and-safety,,2000085
1675,Storekeeping,storekeeping,,2000058
1688,Banking,banking,,2000081
1689,"Human Resources",human-resources,,2000060
1695,Travel,travel,,2000055
1701,"Business Intelligence (BI)",business-intelligence-bi,,2000002
1712,Secretarial,secretarial,,2000051
1725,Architecture,architecture,,2000061
1738,Construction,construction,,2000082
1739,"Interior Design",interior-design,,2000068
1748,Blockchain,blockchain,,2000119
1763,Security,security,,2000084
1766,"Online Marketing",online-marketing,,2000080
1773,Operations,operations,,2000252
1779,Advertising,advertising,,2000072
1796,"Other Area(s)",other-areas,,2000000
1801,Internet,internet,,2000052
1816,Purchasing,purchasing,,2000066
1821,"Investment Funds",investment-funds,,2000096
1826,"IT Audit",it-audit,,2000250
1829,Shipping,shipping,,2000056
1839,Distribution,distribution,,2000116
1847,Production,production,,2000046
1905,"Health Care",health-care,,2000073
1915,Education,education,,2000070
1918,"Quality Control",quality-control,,2000075
1924,"Graphic Design",graphic-design,,2000049
1934,Catering,catering,,2000044
1935,C-Level,c-level,,2000120
1942,Tourism,tourism,,2000037
2020,"Quantity Surveyor",quantity-surveyor,,2000121
2026,Medical,medical,,2000065
2056,FinTech,fintech,,2000111
2068,Aviation,aviation,,2000071
2085,"Real Estate",real-estate,,2000069
2110,"Public Relations",public-relations,,2000094
2139,"Import/ Export",import-export,,2000110
2156,Fiduciary,fiduciary,,2000090
2272,"Information Technology",information-technology,,2000253
